year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,6,10,1726,1720,6,1918,1942,-24,UA,408,N428UA,EWR,PHX,265,2133,17,20,2013-06-10T21:00:00Z
2013,4,29,1403,1315,48,1533,1447,46,EV,4239,N13908,EWR,GSO,72,445,13,15,2013-04-29T17:00:00Z
2013,12,19,1416,1430,-14,1546,1626,-40,EV,4159,N16178,LGA,CLE,70,419,14,30,2013-12-19T19:00:00Z
2013,5,9,1253,1223,30,1424,1406,18,EV,4120,N14179,EWR,CMH,68,463,12,23,2013-05-09T16:00:00Z
2013,12,20,1422,1430,-8,1552,1626,-34,EV,4159,N13989,LGA,CLE,76,419,14,30,2013-12-20T19:00:00Z
2013,7,22,620,600,20,718,700,18,US,2114,N708UW,LGA,BOS,32,184,6,0,2013-07-22T10:00:00Z
2013,3,10,1029,1029,0,1300,1344,-44,UA,1605,N37465,EWR,LAX,308,2454,10,29,2013-03-10T14:00:00Z
2013,1,6,1232,1232,0,1422,1429,-7,EV,4135,N13202,EWR,CLT,99,529,12,32,2013-01-06T17:00:00Z
2013,10,13,1053,1100,-7,1232,1246,-14,EV,5174,N605QX,EWR,DTW,78,488,11,0,2013-10-13T15:00:00Z
2013,4,11,1201,1200,1,1446,1505,-19,AA,3,N328AA,JFK,LAX,323,2475,12,0,2013-04-11T16:00:00Z
2013,5,2,1847,1850,-3,2122,2225,-63,VX,29,N638VA,JFK,SFO,317,2586,18,50,2013-05-02T22:00:00Z
2013,4,5,907,903,4,1148,1213,-25,UA,105,N37422,EWR,IAH,190,1400,9,3,2013-04-05T13:00:00Z
2013,12,20,1808,1724,44,2047,2019,28,B6,1443,N279JB,EWR,PBI,139,1023,17,24,2013-12-20T22:00:00Z
2013,10,15,846,855,-9,954,1033,-39,EV,5220,N759EV,LGA,ROC,40,254,8,55,2013-10-15T12:00:00Z
2013,8,23,703,705,-2,858,915,-17,UA,311,N454UA,EWR,DEN,213,1605,7,5,2013-08-23T11:00:00Z
2013,11,17,1726,1715,11,2030,1905,85,AA,345,N4YSAA,LGA,ORD,149,733,17,15,2013-11-17T22:00:00Z
2013,12,1,13,2359,14,446,445,1,B6,745,N715JB,JFK,PSE,195,1617,23,59,2013-12-02T04:00:00Z
2013,7,2,1746,1655,51,2041,2005,36,VX,413,N627VA,JFK,LAX,303,2475,16,55,2013-07-02T20:00:00Z
2013,5,4,1611,1615,-4,1708,1728,-20,EV,4299,N16546,EWR,DCA,37,199,16,15,2013-05-04T20:00:00Z
2013,10,14,754,759,-5,1037,1049,-12,AA,1111,N3DPAA,LGA,DFW,198,1389,7,59,2013-10-14T11:00:00Z
2013,11,17,1204,1200,4,1441,1500,-19,UA,352,N431UA,EWR,IAH,193,1400,12,0,2013-11-17T17:00:00Z
2013,7,13,2025,1830,115,2319,2140,99,B6,305,N562JB,EWR,FLL,142,1065,18,30,2013-07-13T22:00:00Z
2013,3,20,926,900,26,1032,1020,12,US,2120,N951UW,LGA,BOS,44,184,9,0,2013-03-20T13:00:00Z
2013,5,14,2123,2129,-6,2306,2356,-50,UA,849,N843UA,EWR,MSY,148,1167,21,29,2013-05-15T01:00:00Z
2013,11,13,847,850,-3,1148,1228,-40,B6,15,N763JB,JFK,SFO,325,2586,8,50,2013-11-13T13:00:00Z
2013,3,7,1102,1100,2,1224,1214,10,US,2171,N721UW,LGA,DCA,43,214,11,0,2013-03-07T16:00:00Z
2013,11,5,954,1000,-6,1107,1120,-13,US,2175,N741UW,LGA,DCA,42,214,10,0,2013-11-05T15:00:00Z
2013,10,17,1623,1625,-2,1819,1831,-12,DL,2231,N333NW,LGA,DTW,85,502,16,25,2013-10-17T20:00:00Z
2013,5,8,1327,1250,37,1602,1535,27,WN,1791,N453WN,EWR,HOU,191,1411,12,50,2013-05-08T16:00:00Z
2013,9,15,1802,1755,7,2013,2028,-15,DL,1629,N390DA,JFK,LAS,292,2248,17,55,2013-09-15T21:00:00Z
2013,9,23,1901,1910,-9,2141,2221,-40,DL,2065,N3743H,JFK,FLL,137,1069,19,10,2013-09-23T23:00:00Z
2013,2,20,2248,2251,-3,2352,2357,-5,B6,22,N510JB,JFK,SYR,48,209,22,51,2013-02-21T03:00:00Z
2013,6,28,1557,1600,-3,NA,1721,NA,US,2181,N745VJ,LGA,DCA,NA,214,16,0,2013-06-28T20:00:00Z
2013,6,30,2141,1709,272,19,1954,265,B6,327,N588JB,EWR,MCO,134,937,17,9,2013-06-30T21:00:00Z
2013,3,16,1656,1700,-4,2017,1955,22,AA,257,N3JTAA,JFK,LAS,341,2248,17,0,2013-03-16T21:00:00Z
2013,12,19,2113,2116,-3,2209,2222,-13,B6,1218,N594JB,JFK,BOS,37,187,21,16,2013-12-20T02:00:00Z
2013,12,5,1804,1645,79,1922,1815,67,WN,1104,N8310C,LGA,MDW,119,725,16,45,2013-12-05T21:00:00Z
2013,9,28,757,805,-8,939,941,-2,9E,3611,N8905F,JFK,PIT,60,340,8,5,2013-09-28T12:00:00Z
2013,12,5,1903,1502,241,2108,1708,240,EV,4144,N27200,EWR,CHS,95,628,15,2,2013-12-05T20:00:00Z
2013,5,21,1632,1629,3,1951,1939,12,AA,565,N3FTAA,JFK,DFW,216,1391,16,29,2013-05-21T20:00:00Z
2013,8,6,647,651,-4,904,905,-1,UA,343,N513UA,LGA,DEN,223,1620,6,51,2013-08-06T10:00:00Z
2013,2,14,1038,1045,-7,1241,1250,-9,DL,1573,N363NW,LGA,MEM,149,963,10,45,2013-02-14T15:00:00Z
2013,7,26,818,820,-2,1041,1042,-1,9E,4105,N8492C,JFK,CHS,93,636,8,20,2013-07-26T12:00:00Z
2013,11,21,1618,1625,-7,1746,1822,-36,9E,2933,N901XJ,JFK,RDU,68,427,16,25,2013-11-21T21:00:00Z
2013,4,1,1640,1645,-5,1902,1858,4,9E,3881,N8928A,EWR,CVG,104,569,16,45,2013-04-01T20:00:00Z
2013,2,9,NA,1829,NA,NA,1930,NA,EV,4174,N13949,EWR,BDL,NA,116,18,29,2013-02-09T23:00:00Z
2013,8,8,1519,1520,-1,1643,1636,7,EV,4580,N13903,EWR,MKE,108,725,15,20,2013-08-08T19:00:00Z
2013,3,4,1759,1805,-6,1932,1945,-13,9E,4019,N819AY,JFK,RIC,55,288,18,5,2013-03-04T23:00:00Z
2013,3,9,1731,1730,1,1949,2003,-14,FL,623,N929AT,LGA,ATL,111,762,17,30,2013-03-09T22:00:00Z
2013,5,18,1708,1700,8,1821,1827,-6,B6,24,N247JB,JFK,SYR,43,209,17,0,2013-05-18T21:00:00Z
2013,6,10,1834,1829,5,2041,2033,8,US,1973,N540UW,EWR,CLT,87,529,18,29,2013-06-10T22:00:00Z
2013,10,7,1159,1159,0,1456,1453,3,B6,323,N729JB,JFK,LAX,328,2475,11,59,2013-10-07T15:00:00Z
2013,6,30,1144,1145,-1,1335,1340,-5,MQ,3546,N511MQ,LGA,MSP,134,1020,11,45,2013-06-30T15:00:00Z
2013,6,2,2156,2115,41,2333,2310,23,MQ,4584,N531MQ,LGA,CLT,82,544,21,15,2013-06-03T01:00:00Z
2013,10,10,1113,1120,-7,1228,1230,-2,B6,1307,N265JB,JFK,IAD,56,228,11,20,2013-10-10T15:00:00Z
2013,12,14,1301,1310,-9,1541,1528,13,9E,3944,N925XJ,LGA,CVG,108,585,13,10,2013-12-14T18:00:00Z
2013,11,26,756,800,-4,855,910,-15,AA,84,N3BPAA,JFK,BOS,38,187,8,0,2013-11-26T13:00:00Z
2013,10,15,609,600,9,847,815,32,FL,345,N284AT,LGA,ATL,121,762,6,0,2013-10-15T10:00:00Z
2013,1,6,1555,1600,-5,1907,1912,-5,DL,4,N3752,JFK,MCO,145,944,16,0,2013-01-06T21:00:00Z
2013,3,31,914,920,-6,1148,1207,-19,B6,883,N635JB,JFK,MCO,133,944,9,20,2013-03-31T13:00:00Z
2013,9,29,1907,1900,7,2116,2122,-6,DL,1715,N360NB,LGA,MSY,155,1183,19,0,2013-09-29T23:00:00Z
2013,11,6,1235,1240,-5,1340,1356,-16,9E,3371,N918XJ,LGA,SYR,40,198,12,40,2013-11-06T17:00:00Z
2013,1,22,1742,1645,57,2003,1900,63,DL,1473,N355NB,LGA,MEM,154,963,16,45,2013-01-22T21:00:00Z
2013,6,19,627,630,-3,817,829,-12,EV,4471,N12567,EWR,CLT,91,529,6,30,2013-06-19T10:00:00Z
2013,2,26,2016,2025,-9,2155,2200,-5,FL,354,N925AT,LGA,CAK,66,397,20,25,2013-02-27T01:00:00Z
2013,9,16,625,629,-4,916,929,-13,AA,1205,N3HUAA,EWR,MIA,143,1085,6,29,2013-09-16T10:00:00Z
2013,6,14,805,815,-10,1039,1110,-31,DL,1167,N302DQ,JFK,TPA,133,1005,8,15,2013-06-14T12:00:00Z
2013,1,22,2010,2000,10,2220,2208,12,EV,3822,N14916,EWR,TYS,101,631,20,0,2013-01-23T01:00:00Z
2013,10,6,814,830,-16,1002,1019,-17,EV,5195,N744EV,LGA,RIC,56,292,8,30,2013-10-06T12:00:00Z
2013,5,24,1936,1935,1,2231,2239,-8,B6,381,N571JB,LGA,FLL,145,1076,19,35,2013-05-24T23:00:00Z
2013,7,20,1341,1330,11,1956,1553,NA,DL,2043,N346NB,JFK,ATL,NA,760,13,30,2013-07-20T17:00:00Z
2013,10,23,1119,1125,-6,1253,1310,-17,AA,327,N3EWAA,LGA,ORD,114,733,11,25,2013-10-23T15:00:00Z
2013,5,9,1322,1308,14,1445,1413,32,EV,4129,N17984,EWR,DCA,54,199,13,8,2013-05-09T17:00:00Z
2013,2,5,1454,1445,9,1722,1709,13,UA,1029,N76517,EWR,DEN,239,1605,14,45,2013-02-05T19:00:00Z
2013,6,1,1910,1900,10,2137,2145,-8,DL,73,N1602,JFK,ATL,101,760,19,0,2013-06-01T23:00:00Z
2013,10,9,845,850,-5,944,1006,-22,DL,2445,N370NB,JFK,BOS,37,187,8,50,2013-10-09T12:00:00Z
2013,12,26,650,656,-6,1126,1145,-19,DL,2275,N381DN,JFK,SJU,194,1598,6,56,2013-12-26T11:00:00Z
2013,9,12,907,910,-3,1206,1215,-9,AA,1121,N3DCAA,LGA,DFW,180,1389,9,10,2013-09-12T13:00:00Z
2013,5,13,1345,1329,16,1525,1513,12,EV,4100,N19554,EWR,MEM,134,946,13,29,2013-05-13T17:00:00Z
2013,8,9,NA,1321,NA,NA,1515,NA,EV,4100,N16546,EWR,MEM,NA,946,13,21,2013-08-09T17:00:00Z
2013,9,22,1735,1730,5,2032,2017,15,B6,327,N586JB,EWR,MCO,137,937,17,30,2013-09-22T21:00:00Z
2013,11,24,1604,1605,-1,1806,1827,-21,EV,4122,N12167,EWR,SDF,99,642,16,5,2013-11-24T21:00:00Z
2013,3,17,1620,1605,15,1926,1911,15,B6,157,N590JB,JFK,MCO,149,944,16,5,2013-03-17T20:00:00Z
2013,10,13,852,900,-8,956,1034,-38,UA,673,N806UA,LGA,ORD,103,733,9,0,2013-10-13T13:00:00Z
2013,3,28,807,815,-8,923,1000,-37,EV,5166,N741EV,LGA,BNA,110,764,8,15,2013-03-28T12:00:00Z
2013,4,19,829,830,-1,1123,1203,-40,UA,1281,N78438,EWR,SFO,328,2565,8,30,2013-04-19T12:00:00Z
2013,2,7,1151,1144,7,1255,1255,0,EV,4264,N11535,EWR,BTV,45,266,11,44,2013-02-07T16:00:00Z
2013,9,17,2151,2140,11,2250,2250,0,MQ,3660,N532MQ,LGA,BNA,99,764,21,40,2013-09-18T01:00:00Z
2013,6,9,1318,1325,-7,1424,1500,-36,AA,331,N592AA,LGA,ORD,108,733,13,25,2013-06-09T17:00:00Z
2013,6,14,1709,1700,9,2032,1949,43,UA,207,N409UA,EWR,PBI,141,1023,17,0,2013-06-14T21:00:00Z
2013,7,21,1813,1705,68,2056,1911,105,US,894,N152UW,LGA,CLT,77,544,17,5,2013-07-21T21:00:00Z
2013,8,9,813,730,43,1137,1045,52,VX,183,N835VA,EWR,SFO,355,2565,7,30,2013-08-09T11:00:00Z
2013,11,10,557,600,-3,802,832,-30,DL,1377,N953DN,LGA,ATL,108,762,6,0,2013-11-10T11:00:00Z
2013,7,4,1243,1245,-2,1510,1530,-20,WN,3316,N600WN,EWR,HOU,195,1411,12,45,2013-07-04T16:00:00Z
2013,6,10,1709,1655,14,2022,2005,17,VX,413,N641VA,JFK,LAX,322,2475,16,55,2013-06-10T20:00:00Z
2013,12,3,1803,1810,-7,2008,2029,-21,DL,2019,N984DL,LGA,MSP,158,1020,18,10,2013-12-03T23:00:00Z
2013,4,29,902,908,-6,1149,1210,-21,B6,1061,N337JB,JFK,AUS,201,1521,9,8,2013-04-29T13:00:00Z
2013,8,4,1939,1935,4,2248,2302,-14,DL,87,N6707A,JFK,SLC,287,1990,19,35,2013-08-04T23:00:00Z
2013,3,16,2146,2125,21,2303,2240,23,MQ,4449,N856MQ,JFK,DCA,50,213,21,25,2013-03-17T01:00:00Z
2013,3,9,744,709,35,1012,1009,3,B6,987,N715JB,JFK,MCO,124,944,7,9,2013-03-09T12:00:00Z
2013,11,28,740,745,-5,1037,1040,-3,MQ,3066,N0EGMQ,JFK,TPA,147,1005,7,45,2013-11-28T12:00:00Z
2013,1,15,656,700,-4,1020,1015,5,AA,2279,N3HEAA,LGA,MIA,158,1096,7,0,2013-01-15T12:00:00Z
2013,5,26,2025,2029,-4,5,27,-22,UA,1071,N73445,EWR,BQN,197,1585,20,29,2013-05-27T00:00:00Z
2013,1,2,1111,1059,12,1437,1420,17,DL,2071,N370NW,LGA,MIA,167,1096,10,59,2013-01-02T15:00:00Z
2013,10,4,1457,1454,3,1706,1712,-6,UA,1107,N39423,EWR,DEN,231,1605,14,54,2013-10-04T18:00:00Z
2013,11,22,746,631,75,848,742,66,EV,4241,N29917,EWR,DCA,40,199,6,31,2013-11-22T11:00:00Z
2013,8,29,734,740,-6,1037,1055,-18,VX,11,N851VA,JFK,SFO,339,2586,7,40,2013-08-29T11:00:00Z
2013,6,4,1634,1640,-6,1857,1845,12,MQ,4540,N722MQ,LGA,DTW,84,502,16,40,2013-06-04T20:00:00Z
2013,12,14,915,900,15,1110,1036,34,UA,711,N805UA,LGA,ORD,125,733,9,0,2013-12-14T14:00:00Z
2013,1,14,1152,1200,-8,1304,1305,-1,US,2126,N956UW,LGA,BOS,35,184,12,0,2013-01-14T17:00:00Z
2013,12,20,1652,1450,122,1943,1802,101,B6,1171,N505JB,LGA,FLL,155,1076,14,50,2013-12-20T19:00:00Z
2013,10,28,1531,1535,-4,1703,1727,-24,UA,322,N818UA,LGA,CLE,69,419,15,35,2013-10-28T19:00:00Z
2013,8,14,1328,1330,-2,1629,1625,4,B6,505,N527JB,EWR,FLL,149,1065,13,30,2013-08-14T17:00:00Z
2013,3,19,1258,1300,-2,1618,1556,22,DL,1685,N979DL,LGA,MCO,152,950,13,0,2013-03-19T17:00:00Z
2013,10,25,1316,1325,-9,1419,1434,-15,B6,308,N323JB,JFK,PWM,49,273,13,25,2013-10-25T17:00:00Z
2013,5,8,2303,1925,218,30,2129,181,9E,3525,N602LR,JFK,ORD,105,740,19,25,2013-05-08T23:00:00Z
2013,1,16,1932,1935,-3,2240,2240,0,AA,791,N3EJAA,LGA,DFW,229,1389,19,35,2013-01-17T00:00:00Z
2013,5,7,1625,1629,-4,1840,1943,-63,UA,1001,N27421,EWR,LAX,300,2454,16,29,2013-05-07T20:00:00Z
2013,6,4,1554,1552,2,1859,1901,-2,UA,1601,N76515,EWR,FLL,149,1065,15,52,2013-06-04T19:00:00Z
2013,2,6,737,745,-8,1231,1234,-3,UA,1481,N77871,EWR,SJU,202,1608,7,45,2013-02-06T12:00:00Z
2013,8,13,1258,1300,-2,1653,1652,1,UA,1708,N14228,EWR,SJU,216,1608,13,0,2013-08-13T17:00:00Z
2013,12,9,2124,2130,-6,2233,2245,-12,MQ,3621,N812MQ,JFK,DCA,47,213,21,30,2013-12-10T02:00:00Z
2013,4,25,1650,1605,45,2008,1924,44,DL,1373,N352NW,JFK,MIA,154,1089,16,5,2013-04-25T20:00:00Z
2013,6,24,1138,1040,58,1401,1309,52,UA,244,N402UA,EWR,LAS,295,2227,10,40,2013-06-24T14:00:00Z
2013,7,10,2343,2045,178,149,2308,161,9E,3470,N922XJ,JFK,CVG,88,589,20,45,2013-07-11T00:00:00Z
2013,6,15,845,825,20,1024,1017,7,US,1831,N537UW,JFK,CLT,73,541,8,25,2013-06-15T12:00:00Z
2013,9,30,1503,1509,-6,1712,1731,-19,UA,745,N533UA,LGA,DEN,216,1620,15,9,2013-09-30T19:00:00Z
2013,2,25,1654,1700,-6,2129,2204,-35,DL,329,N3772H,JFK,SJU,187,1598,17,0,2013-02-25T22:00:00Z
2013,5,3,1732,1700,32,1957,1939,18,DL,1499,N6715C,LGA,ATL,117,762,17,0,2013-05-03T21:00:00Z
2013,3,8,1808,1635,93,1934,1810,84,MQ,3695,N531MQ,EWR,ORD,107,719,16,35,2013-03-08T21:00:00Z
2013,10,12,857,800,57,1002,913,49,EV,4866,N10156,EWR,BTV,45,266,8,0,2013-10-12T12:00:00Z
2013,11,2,1328,1330,-2,1631,1634,-3,B6,431,N586JB,LGA,SRQ,164,1047,13,30,2013-11-02T17:00:00Z
2013,1,18,1832,1758,34,1956,1936,20,UA,1172,N76505,EWR,ORD,114,719,17,58,2013-01-18T22:00:00Z
2013,9,5,719,727,-8,933,1007,-34,UA,261,N574UA,LGA,IAH,172,1416,7,27,2013-09-05T11:00:00Z
2013,11,7,621,630,-9,752,805,-13,AA,303,N466AA,LGA,ORD,119,733,6,30,2013-11-07T11:00:00Z
2013,4,24,1629,1630,-1,1920,1918,2,UA,1112,N68061,EWR,IAH,190,1400,16,30,2013-04-24T20:00:00Z
2013,11,9,1029,1029,0,1313,1328,-15,UA,488,N594UA,EWR,IAH,205,1400,10,29,2013-11-09T15:00:00Z
2013,6,2,1725,1730,-5,1931,1918,13,B6,1111,N316JB,JFK,RDU,70,427,17,30,2013-06-02T21:00:00Z
2013,6,16,1703,1615,48,1911,1831,40,DL,1619,N912DE,LGA,MSP,172,1020,16,15,2013-06-16T20:00:00Z
2013,4,19,1228,1151,37,1454,1414,40,FL,347,N961AT,LGA,ATL,116,762,11,51,2013-04-19T15:00:00Z
2013,3,25,734,735,-1,857,910,-13,WN,824,N928WN,EWR,BNA,125,748,7,35,2013-03-25T11:00:00Z
2013,3,11,627,630,-3,740,749,-9,EV,4533,N13970,EWR,BUF,50,282,6,30,2013-03-11T10:00:00Z
2013,1,23,825,827,-2,1137,1140,-3,DL,2395,N315US,LGA,PBI,169,1035,8,27,2013-01-23T13:00:00Z
2013,2,10,838,845,-7,1057,1105,-8,EV,4364,N11191,EWR,MCI,172,1092,8,45,2013-02-10T13:00:00Z
2013,1,17,1211,1220,-9,1334,1343,-9,B6,66,N306JB,JFK,BUF,69,301,12,20,2013-01-17T17:00:00Z
2013,4,13,802,810,-8,1148,1120,28,DL,1271,N356NW,JFK,FLL,192,1069,8,10,2013-04-13T12:00:00Z
2013,2,25,1726,1729,-3,1847,1852,-5,UA,488,N802UA,EWR,BOS,36,200,17,29,2013-02-25T22:00:00Z
2013,1,28,1703,1655,8,2016,2010,6,B6,185,N566JB,JFK,SAN,347,2446,16,55,2013-01-28T21:00:00Z
2013,6,19,1731,1729,2,2059,2055,4,VX,193,N626VA,EWR,SFO,355,2565,17,29,2013-06-19T21:00:00Z
2013,5,29,604,605,-1,927,910,17,AA,1837,N3CKAA,LGA,MIA,172,1096,6,5,2013-05-29T10:00:00Z
2013,7,11,NA,1500,NA,NA,1622,NA,US,2179,NA,LGA,DCA,NA,214,15,0,2013-07-11T19:00:00Z
2013,11,9,554,600,-6,636,658,-22,US,795,N749US,LGA,PHL,29,96,6,0,2013-11-09T11:00:00Z
2013,7,3,2201,2126,35,27,15,12,UA,1692,N76519,EWR,MCO,126,937,21,26,2013-07-04T01:00:00Z
2013,8,8,1418,1347,31,1646,1644,2,DL,1685,N985DL,LGA,MCO,121,950,13,47,2013-08-08T17:00:00Z
2013,7,9,853,859,-6,1106,1137,-31,DL,1747,N906DE,LGA,ATL,103,762,8,59,2013-07-09T12:00:00Z
2013,6,5,606,615,-9,745,806,-21,US,1965,N117UW,EWR,CLT,71,529,6,15,2013-06-05T10:00:00Z
2013,11,22,1102,1040,22,1354,1355,-1,AA,1599,N3ASAA,LGA,MIA,142,1096,10,40,2013-11-22T15:00:00Z
2013,11,20,820,820,0,1154,1155,-1,UA,1043,N68452,EWR,PHX,297,2133,8,20,2013-11-20T13:00:00Z
2013,9,5,1322,1325,-3,1556,1615,-19,UA,1054,N14121,EWR,LAX,311,2454,13,25,2013-09-05T17:00:00Z
2013,10,10,1545,1525,20,1724,1726,-2,EV,4576,N14959,EWR,GRR,86,605,15,25,2013-10-10T19:00:00Z
2013,4,7,730,730,0,1054,1105,-11,VX,183,N851VA,EWR,SFO,364,2565,7,30,2013-04-07T11:00:00Z
2013,5,2,1550,1520,30,1704,1639,25,EV,4141,N15572,EWR,MKE,107,725,15,20,2013-05-02T19:00:00Z
2013,4,29,927,930,-3,1029,1050,-21,EV,4636,N13908,EWR,DCA,39,199,9,30,2013-04-29T13:00:00Z
2013,12,4,1613,1555,18,1811,1750,21,9E,2927,N909XJ,JFK,ORD,136,740,15,55,2013-12-04T20:00:00Z
2013,8,9,1604,1520,44,1738,1636,62,EV,4580,N14570,EWR,MKE,125,725,15,20,2013-08-09T19:00:00Z
2013,9,28,946,950,-4,1220,1220,0,VX,251,N838VA,JFK,LAS,306,2248,9,50,2013-09-28T13:00:00Z
2013,12,30,1538,1500,38,1735,1650,45,9E,3721,N920XJ,LGA,BNA,140,764,15,0,2013-12-30T20:00:00Z
2013,3,2,1526,1509,17,1740,1759,-19,UA,1602,N76065,EWR,IAH,171,1400,15,9,2013-03-02T20:00:00Z
2013,12,23,1800,1611,109,2112,1915,117,B6,753,N821JB,JFK,PBI,150,1028,16,11,2013-12-23T21:00:00Z
2013,3,10,1735,1715,20,2016,2024,-8,DL,1779,N325US,LGA,FLL,138,1076,17,15,2013-03-10T21:00:00Z
2013,8,7,1705,1702,3,1953,2003,-10,UA,1661,N16713,LGA,IAH,197,1416,17,2,2013-08-07T21:00:00Z
2013,5,9,2013,1955,18,2246,2253,-7,9E,3450,N905XJ,JFK,JAX,115,828,19,55,2013-05-09T23:00:00Z
2013,8,4,1258,1241,17,1533,1518,15,B6,927,N506JB,EWR,MCO,128,937,12,41,2013-08-04T16:00:00Z
2013,3,4,1542,1545,-3,1833,1856,-23,DL,4,N399DA,JFK,MCO,127,944,15,45,2013-03-04T20:00:00Z
2013,8,12,1054,1100,-6,1338,1332,6,DL,1647,N555NW,LGA,ATL,105,762,11,0,2013-08-12T15:00:00Z
2013,2,8,858,900,-2,1158,1205,-7,DL,1885,N312US,LGA,MCO,140,950,9,0,2013-02-08T14:00:00Z
2013,6,20,1450,1459,-9,1645,1649,-4,MQ,3391,N840MQ,LGA,CMH,77,479,14,59,2013-06-20T18:00:00Z
2013,8,6,729,735,-6,1001,1005,-4,AA,1949,N3GGAA,JFK,LAS,303,2248,7,35,2013-08-06T11:00:00Z
2013,3,20,1616,1600,16,1827,1835,-8,9E,3315,N917XJ,JFK,MSP,147,1029,16,0,2013-03-20T20:00:00Z
2013,8,30,744,749,-5,1040,1040,0,B6,1717,N653JB,LGA,TPA,134,1010,7,49,2013-08-30T11:00:00Z
2013,1,29,640,645,-5,924,920,4,UA,343,N449UA,LGA,DEN,263,1620,6,45,2013-01-29T11:00:00Z
2013,11,22,1600,1559,1,1737,1732,5,UA,1564,N17233,EWR,ORD,132,719,15,59,2013-11-22T20:00:00Z
2013,4,8,1250,1259,-9,1559,1606,-7,UA,734,N424UA,EWR,DFW,197,1372,12,59,2013-04-08T16:00:00Z
2013,10,9,1809,1803,6,1918,1944,-26,UA,244,N825UA,EWR,ORD,97,719,18,3,2013-10-09T22:00:00Z
2013,9,9,1458,1459,-1,1708,1730,-22,EV,4377,N15985,EWR,JAX,107,820,14,59,2013-09-09T18:00:00Z
2013,9,18,614,620,-6,754,818,-24,EV,5599,N131EV,EWR,MSP,147,1008,6,20,2013-09-18T10:00:00Z
2013,8,10,1106,1113,-7,1335,1348,-13,B6,127,N827JB,EWR,MCO,132,937,11,13,2013-08-10T15:00:00Z
2013,10,16,1354,1355,-1,1549,1550,-1,MQ,3567,N526MQ,LGA,CLT,81,544,13,55,2013-10-16T17:00:00Z
2013,12,26,731,700,31,910,850,20,WN,4418,N603SW,EWR,STL,138,872,7,0,2013-12-26T12:00:00Z
2013,12,19,1705,1700,5,1855,1843,12,UA,689,N854UA,LGA,ORD,131,733,17,0,2013-12-19T22:00:00Z
2013,8,22,801,805,-4,1123,1055,28,DL,1109,N320US,LGA,TPA,136,1010,8,5,2013-08-22T12:00:00Z
2013,6,7,2036,1650,226,2301,1919,222,9E,3383,N929XJ,JFK,CVG,87,589,16,50,2013-06-07T20:00:00Z
2013,8,23,1656,1615,41,1906,1831,35,DL,1619,N979DL,LGA,MSP,142,1020,16,15,2013-08-23T20:00:00Z
2013,10,17,2015,2015,0,2157,2155,2,MQ,3535,N520MQ,JFK,CMH,77,483,20,15,2013-10-18T00:00:00Z
2013,3,12,1822,1820,2,1939,2005,-26,AA,353,N3FTAA,LGA,ORD,120,733,18,20,2013-03-12T22:00:00Z
